model,cv_accuracy_mean,cv_f1_mean,cv_roc_auc_mean,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
Logistic Regression,0.9962264150943396,0.9929824561403509,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest,0.9566037735849058,0.9236680192650226,0.9946633825944172,0.9466666666666667,0.8333333333333334,1.0,0.9090909090909091,0.9981818181818183
Gradient Boosting,0.9509433962264151,0.9064724943672312,0.9888688897309587,0.9733333333333334,0.9285714285714286,0.975,0.9512195121951219,0.9977272727272727
